Index,fault,section,age,dip_direct,slip_rate,slip_sense,scale,class,certainty,strike,cooperator,earthquake,ref_id,fault_url,fault_id,section_id,symbology,Shape_Leng,geometry
8,San Andreas fault zone,Shelter Cove Section,undifferentiated Quaternary,Vertical,Greater than 5.0 mm/yr,Right lateral,"1:100,000",A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,undifferentiated Quaternary Moderately Constrained,42662.2149876,"LINESTRING (-124.080434 39.99955100000004, -124.0822659999999 40.00352000000003, -124.0850499989999 40.00869000000006, -124.0862979989999 40.01102700000006, -124.089525 40.01476700100009, -124.0955029989999 40.02154100000015, -124.10366 40.03064200000008, -124.1143139999999 40.04441700000012, -124.121153 40.05260600000006, -124.125903001 40.05839600000008, -124.132157 40.06495300000006, -124.1352849999999 40.06826700000005, -124.140610999 40.07511900000007, -124.1424149999999 40.07723600000008, -124.1449679999999 40.07955900000005, -124.1504429999999 40.08398799999999, -124.154316 40.08729400000009, -124.156764 40.08876400000008, -124.159771 40.09029899900005, -124.163244 40.09182900000007, -124.172823001 40.09635700000013, -124.180624 40.10040500000013, -124.1868369999999 40.10432600000007, -124.198987 40.1122450000001, -124.210493 40.12088300000005, -124.22079 40.12960600000013, -124.233047999 40.13859100000005, -124.2455009999999 40.14814500000005, -124.251169999 40.15299900000011, -124.259369 40.15868100000004, -124.265768 40.16253000100009, -124.2820309999999 40.17118800000002, -124.2993439999999 40.18147400000002, -124.313078 40.1894470000001, -124.3194749999999 40.19308300000009, -124.3274589999999 40.19698500000003, -124.335645 40.20181300000007, -124.343552 40.20671400000001)"
9,San Andreas fault zone,Shelter Cove Section,undifferentiated Quaternary,Vertical,Greater than 5.0 mm/yr,Right lateral,"1:250,000",A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,undifferentiated Quaternary Moderately Constrained,59573.5530898,"LINESTRING (-123.946962 39.61670199900003, -123.949827 39.64103400000011, -123.9523139999999 39.65256100000008, -123.957363 39.66464300000012, -123.9637719999999 39.68221400000004, -123.966742 39.69127300000009, -123.9732299999999 39.71442300100011, -123.9815319999999 39.74516800000002, -123.9873899999999 39.7751760000001, -123.9946319999999 39.80756300100006, -123.9988949999999 39.83226500000011, -124.0008949999999 39.84671800000007, -124.00267 39.85989000000014, -124.0067139999999 39.88239599900005, -124.018147 39.91570600000007, -124.026395 39.93730600000002, -124.037561 39.97564600000003, -124.0421359999999 39.98882400000014, -124.04625 40.00099500000003, -124.047857001 40.00474800000006, -124.051311 40.01124800000015, -124.056047 40.01784200000004)"
10,San Andreas fault zone,Shelter Cove Section,undifferentiated Quaternary,Vertical,Greater than 5.0 mm/yr,Right lateral,"1:250,000",A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,undifferentiated Quaternary Moderately Constrained,68815.6630268,"LINESTRING (-123.9484539999999 39.53476300000009, -123.9520659999999 39.55232900000011, -123.957819001 39.59770100000007, -123.9582029999999 39.60977300000015, -123.959709 39.62824900000005, -123.962179 39.64233800000011, -123.97087 39.66722999900004, -123.9846219999999 39.70237399900008, -123.997094001 39.73714900000005, -124.004237999 39.76679400000012, -124.0114589999999 39.80229200000012, -124.018239999 39.83376400000002, -124.023261001 39.84987000000012, -124.0287029999999 39.87256100000008, -124.0345969999999 39.89744700000008, -124.037779 39.90952600000004, -124.0404749989999 39.92452900000008, -124.0553399999999 40.00174400000005)"
11,San Andreas fault zone,Shelter Cove Section,undifferentiated Quaternary,Vertical,Greater than 5.0 mm/yr,Right lateral,"1:250,000",A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,undifferentiated Quaternary Moderately Constrained,73198.8984589,"LINESTRING (-123.732129999 39.05440900000011, -123.748711999 39.07791200000005, -123.75556 39.09057500000013, -123.7665939999999 39.10701200000006, -123.7752149999999 39.11945700000012, -123.7838329999999 39.13011900000011, -123.7956309999999 39.1479010010001, -123.803660999 39.16459900000012, -123.8142719989999 39.19205600000007, -123.817928 39.19987200000006, -123.8192709999999 39.20344900000008, -123.821428999 39.20745300000006, -123.8242639999999 39.21136400000005, -123.828687999 39.21767500000008, -123.834133 39.22684100000006, -123.845733 39.25347400000004, -123.8503569999999 39.26682600000002, -123.855539 39.28358000000003, -123.8586989999999 39.29837000000006, -123.8601839999999 39.31009699900007, -123.861867001 39.31705300000009, -123.863408 39.32383800000014, -123.8655079999999 39.32915400000014, -123.868856999 39.33489500000012, -123.880779 39.35090100000014, -123.8944799989999 39.374987, -123.9060889989999 39.39784400000013, -123.918284 39.43843500100004, -123.93017 39.48022200000003, -123.9415929999999 39.51499600000007, -123.9475439989999 39.53146900000007)"
12,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,8505.45468102,"LINESTRING (-124.07161 40.0614530010001, -124.081919 40.08657600000002, -124.0845849999999 40.09323700000006, -124.087343 40.09906000000012, -124.088771 40.10135000000008, -124.089495 40.10311600000009, -124.090128 40.10903200000007, -124.0898519999999 40.11127100000008, -124.0898769999999 40.11286700000007, -124.0898929999999 40.11393100100004, -124.090124 40.11466500000007, -124.090456 40.11512000000003, -124.090565 40.11569200000001, -124.090694 40.1175640000001)"
13,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,1753.75132914,"LINESTRING (-124.080636 40.04957000000009, -124.089210999 40.05968599900005)"
14,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,92.0020972775,"LINESTRING (-124.079819 40.04874000000013, -124.080196 40.04930300100012)"
15,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,312.395483189,"LINESTRING (-124.0779959989999 40.04641000000004, -124.079489 40.04822900000002)"
16,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,389.442361619,"LINESTRING (-124.0764319989999 40.04447100000004, -124.074633001 40.04217400000002)"
17,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,370.169120094,"LINESTRING (-124.073844 40.0412000000001, -124.072814 40.03982000000008, -124.072249 40.03896700000017)"
