Index,fault,section,age,dip_direct,slip_rate,slip_sense,scale,class,certainty,strike,cooperator,earthquake,ref_id,fault_url,fault_id,section_id,symbology,Shape_Leng,geometry
12,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,8505.45468102,"LINESTRING (-124.07161 40.0614530010001, -124.081919 40.08657600000002, -124.0845849999999 40.09323700000006, -124.087343 40.09906000000012, -124.088771 40.10135000000008, -124.089495 40.10311600000009, -124.090128 40.10903200000007, -124.0898519999999 40.11127100000008, -124.0898769999999 40.11286700000007, -124.0898929999999 40.11393100100004, -124.090124 40.11466500000007, -124.090456 40.11512000000003, -124.090565 40.11569200000001, -124.090694 40.1175640000001)"
13,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,1753.75132914,"LINESTRING (-124.080636 40.04957000000009, -124.089210999 40.05968599900005)"
14,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,92.0020972775,"LINESTRING (-124.079819 40.04874000000013, -124.080196 40.04930300100012)"
15,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,312.395483189,"LINESTRING (-124.0779959989999 40.04641000000004, -124.079489 40.04822900000002)"
16,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,389.442361619,"LINESTRING (-124.0764319989999 40.04447100000004, -124.074633001 40.04217400000002)"
17,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,370.169120094,"LINESTRING (-124.073844 40.0412000000001, -124.072814 40.03982000000008, -124.072249 40.03896700000017)"
18,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,138.569630481,"LINESTRING (-124.062671 40.02507100000005, -124.062529 40.02412400000001)"
19,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,156.091816784,"LINESTRING (-124.0604530009999 40.02521500000014, -124.0603079999999 40.02414700000005)"
20,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,43.0711138809,"LINESTRING (-124.0591469999999 40.02510100000004, -124.059183 40.0248060000001)"
21,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,135.828571284,"LINESTRING (-124.059092001 40.02404900100008, -124.058974001 40.02311900000012)"
22,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Inferred,94.0480096659,"LINESTRING (-124.0588389999999 40.02236200000007, -124.058683999 40.02172600000007)"
23,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Moderately Constrained,79.8677446002,"LINESTRING (-124.077471 40.04578300000005, -124.077867 40.04624100000012)"
24,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Moderately Constrained,96.4095345,"LINESTRING (-124.0744819989999 40.04202400000006, -124.0740599999999 40.04144500000012)"
25,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Moderately Constrained,77.5794499126,"LINESTRING (-124.071881 40.03835200000005, -124.072188 40.03883100100018)"
26,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Moderately Constrained,818.55149916,"LINESTRING (-124.069844 40.05473000000006, -124.0699859999999 40.05495200000013, -124.0701789999999 40.05539700000006, -124.07048 40.05642700000006, -124.070545 40.05706500100009, -124.070679999 40.05780400000004, -124.0710099999999 40.05902400000011, -124.071316 40.06022600100002)"
27,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Moderately Constrained,77.4582516356,"LINESTRING (-124.070399 40.03617000000008, -124.070048 40.03571000100011)"
28,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Moderately Constrained,406.954002925,"LINESTRING (-124.0696319999999 40.03608700000014, -124.068976 40.03516700000011, -124.068345 40.03435000000012, -124.0680410009999 40.03394200000007, -124.06783 40.03365200000006)"
29,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Moderately Constrained,462.96496301,"LINESTRING (-124.062553 40.02904399900007, -124.062624999 40.02845700100007, -124.062738 40.02776400000012, -124.0628950009999 40.02700200000005, -124.0629229999999 40.02644900100006, -124.0628370009999 40.02588100000002)"
30,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Moderately Constrained,91.6736414499,"LINESTRING (-124.0605529999999 40.02649100000018, -124.060465 40.02586400100007)"
31,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Moderately Constrained,76.4029125173,"LINESTRING (-124.05908 40.0258200000001, -124.059133 40.02529600000006)"
32,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Well Constrained,147.760069132,"LINESTRING (-124.0773 40.04557000000003, -124.0765929999999 40.04471000000013)"
33,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Well Constrained,287.87003337,"LINESTRING (-124.07172 40.03808900100009, -124.0714829999999 40.03774399900005, -124.071293 40.03746899900011, -124.070911 40.03684900000013, -124.070720999 40.03660700100012, -124.0705309999999 40.0363320000001)"
34,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Well Constrained,224.576220289,"LINESTRING (-124.069666 40.05411700100014, -124.069655 40.05376800000003, -124.069643 40.05335000000008, -124.0697649999999 40.05289400000002, -124.069938 40.05261200000007)"
35,San Andreas fault zone,Shelter Cove Section,historic,Vertical,Greater than 5.0 mm/yr,Right lateral,unspecified,A,Good,N12Â°W,California Geological Survey,San Francisco earthquake,1a,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=1&section_id=a,1,a,historic Well Constrained,347.182270183,"LINESTRING (-124.069793 40.05450700000007, -124.069621001 40.05411800000014, -124.0694699999999 40.0536320000001, -124.069262 40.05279799900004, -124.0691969989999 40.05217200000003)"
